city,kfcNum
安徽,212
包头,16
保定,61
北京,429
沧州,6
常德,25
常州,3
成都,351
楚雄彝族自治州,1
大理白族自治州,2
大连,97
丹东,2
儋州,1
东莞,125
佛山,117
福州,191
阜阳,22
赣州,25
广州,469
贵阳,2
哈尔滨,229
海东,2
杭州,500
合肥,97
衡水,1
呼和浩特,1
湖州,52
淮安,32
惠州,51
吉林,21
济南,115
济宁,41
嘉兴,12
江门,4
揭阳,2
金华,81
荆州,1
昆明,97
兰州,53
廊坊,60
乐东黎族自治县,1
辽吉,219
临汾,1
临沂,31
柳州,1
洛阳,1
茂名,1
牡丹江,1
南昌,78
南京,346
南宁,79
南通,99
宁波,184
怒江傈僳族自治州,2
莆田,25
秦皇岛,34
青岛,159
衢州,20
泉州,69
三亚,33
厦门,100
山东,237
陕甘宁新青晋,247
汕头,36
上海,451
上饶,24
绍兴,67
深圳,691
沈阳,145
石家庄,83
苏州,320
台州,10
太原,87
泰安,1
泰州,6
唐山,58
天津,592
通化,1
潍坊,8
渭南,1
温州,103
乌鲁木齐,33
无锡,248
武汉,554
西安,145
咸阳,1
襄阳,1
徐州,44
烟台,57
盐城,67
扬州,65
阳江,1
宜昌,30
益阳,1
榆林,1
玉林,1
云贵,225
湛江,28
漳州,18
长春,98
长沙,429
肇庆,24
镇江,52
郑州,295
中山,50
重庆,112
珠海,55
淄博,24
