city,Active
安徽,212.00 
包头,16.00 
保定,61.00 
北京,429.00 
沧州,6.00 
常德,25.00 
常州,3.00 
成都,351.00 
楚雄彝族自治州,1.00 
大理白族自治州,2.00 
大连,97.00 
丹东,2.00 
儋州,1.00 
东莞,125.00 
佛山,117.00 
福州,191.00 
阜阳,22.00 
赣州,25.00 
广州,469.00 
贵阳,2.00 
哈尔滨,229.00 
海东,2.00 
杭州,500.00 
合肥,97.00 
衡水,1.00 
呼和浩特,1.00 
湖州,52.00 
淮安,32.00 
惠州,51.00 
吉林,21.00 
济南,115.00 
济宁,41.00 
嘉兴,12.00 
江门,4.00 
揭阳,2.00 
金华,81.00 
荆州,1.00 
昆明,97.00 
兰州,53.00 
廊坊,60.00 
乐东黎族自治县,1.00 
辽吉,219.00 
临汾,1.00 
临沂,31.00 
柳州,1.00 
洛阳,1.00 
茂名,1.00 
牡丹江,1.00 
南昌,78.00 
南京,346.00 
南宁,79.00 
南通,99.00 
宁波,184.00 
怒江傈僳族自治州,2.00 
莆田,25.00 
秦皇岛,34.00 
青岛,159.00 
衢州,20.00 
泉州,69.00 
三亚,33.00 
厦门,100.00 
山东,237.00 
陕甘宁新青晋,247.00 
汕头,36.00 
上海,451.00 
上饶,24.00 
绍兴,67.00 
深圳,691.00 
沈阳,145.00 
石家庄,83.00 
苏州,320.00 
台州,10.00 
太原,87.00 
泰安,1.00 
泰州,6.00 
唐山,58.00 
天津,592.00 
通化,1.00 
潍坊,8.00 
渭南,1.00 
温州,103.00 
乌鲁木齐,33.00 
无锡,248.00 
武汉,554.00 
西安,145.00 
咸阳,1.00 
襄阳,1.00 
徐州,44.00 
烟台,57.00 
盐城,67.00 
扬州,65.00 
阳江,1.00 
宜昌,30.00 
益阳,1.00 
榆林,1.00 
玉林,1.00 
云贵,225.00 
湛江,28.00 
漳州,18.00 
长春,98.00 
长沙,429.00 
肇庆,24.00 
镇江,52.00 
郑州,295.00 
中山,50.00 
重庆,112.00 
珠海,55.00 
淄博,24.00 
